,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
1.975000,135.207764,65.850624,2579.926025,-0.046767,-0.041081,0.001486,1
1.987000,135.205734,65.847954,2579.930420,-0.032024,-0.055758,0.004750,1
2.000000,135.203415,65.850502,2579.917725,-0.021980,-0.016118,0.006471,1
2.012000,135.203018,65.846062,2579.929932,-0.060126,0.011183,-0.007401,1
2.025000,135.205536,65.848976,2579.937256,-0.053078,-0.065906,-0.000557,1
2.037000,135.207428,65.847168,2579.929688,-0.038742,-0.009029,-0.001543,1
2.050000,135.207169,65.850273,2579.927490,-0.035211,-0.032812,-0.000625,1
2.062000,135.205612,65.852531,2579.927734,-0.024102,-0.013395,-0.001345,1
2.075000,135.210678,65.852257,2579.956787,-0.022355,-0.004000,0.005012,1
2.087000,135.210861,65.854607,2579.951416,-0.045174,0.007255,0.004077,1
2.100000,135.207443,65.847977,2579.928467,-0.080899,-0.058520,0.004581,1
2.112000,135.209564,65.852371,2579.935791,-0.068184,-0.054298,0.012202,1
2.125000,135.211136,65.850060,2579.946777,0.001876,0.053636,0.002097,1
2.137000,135.211609,65.851265,2579.936035,-0.080399,-0.014865,0.006014,1
2.150000,135.209274,65.848244,2579.941406,-0.059261,-0.001128,-0.002597,1
2.162000,135.203003,65.851044,2579.908691,-0.090866,0.004822,-0.001063,1
2.175000,135.204529,65.848991,2579.925781,-0.009397,-0.083515,0.001692,1
2.187000,135.205307,65.850677,2579.927979,-0.087060,-0.043207,0.002035,1
2.200000,135.201553,65.849251,2579.928223,-0.051758,-0.000734,0.006153,1
2.212000,135.203156,65.850853,2579.912354,-0.050931,-0.075641,0.008459,1
2.225000,135.204575,65.852097,2579.945801,-0.056692,-0.058817,0.002239,1
2.237000,135.208252,65.852974,2579.926758,-0.012544,-0.023037,0.004159,1
2.250000,135.206192,65.849556,2579.923584,0.027363,0.034830,0.002358,1
2.262000,135.207962,65.847641,2579.936279,-0.067696,0.021301,0.004708,1
2.275000,135.204727,65.848961,2579.948975,-0.021574,0.020569,0.000795,1
2.287000,135.205978,65.850433,2579.923584,-0.055527,-0.028007,0.000016,1
2.300000,135.212631,65.847084,2579.915039,-0.050132,-0.082601,0.002625,1
2.312000,135.211456,65.853096,2579.928467,-0.089701,-0.000789,0.006821,1
2.325000,135.206711,65.851700,2579.944824,-0.039036,-0.008494,0.005350,1
2.337000,135.206497,65.853134,2579.938965,0.000898,-0.040526,0.003706,1
2.350000,135.203339,65.848961,2579.947510,-0.088355,0.028276,0.001334,1
2.362000,135.205811,65.849075,2579.912109,-0.053757,-0.063799,0.003215,1
2.375000,135.205872,65.848694,2579.921631,-0.080319,-0.002080,0.004599,1
2.387000,135.202057,65.848587,2579.928711,-0.045989,-0.008821,0.010451,1
2.400000,135.206421,65.848152,2579.928223,0.002282,0.003723,-0.003525,1
2.412000,135.202347,65.850487,2579.921387,-0.004556,-0.075692,0.008778,1
2.425000,135.208298,65.847755,2579.934814,-0.039090,-0.060311,-0.002642,1
2.437000,135.205856,65.849953,2579.916016,-0.113175,0.011322,0.003897,1
2.450000,135.206802,65.850403,2579.920166,0.011852,-0.036886,0.004064,1
2.462000,135.208023,65.855309,2579.934326,-0.011518,0.020034,0.007638,1
2.475000,135.206482,65.852234,2579.916260,-0.064005,-0.017001,0.010011,1
2.487000,135.210327,65.854408,2579.948730,-0.065274,-0.016549,0.006755,1
2.500000,135.209625,65.850662,2579.927490,0.028961,-0.009387,0.011610,1
2.512000,135.209854,65.848099,2579.922119,-0.053250,-0.022706,-0.000547,1
2.525000,135.205368,65.853050,2579.925537,-0.070175,-0.059689,0.007709,1
2.537000,135.207367,65.849014,2579.938477,-0.049308,-0.054682,-0.001607,1
2.550000,135.204041,65.852020,2579.914062,-0.060475,0.012482,0.004103,1
2.562000,135.207504,65.851105,2579.916260,-0.041747,-0.043609,0.001813,1
2.575000,135.203156,65.850159,2579.940186,-0.104303,-0.025835,-0.002432,1
2.587000,135.205536,65.847244,2579.909912,-0.059616,-0.009846,0.002599,1
2.600000,135.205627,65.849991,2579.944824,-0.018287,-0.026299,0.000152,1
2.612000,135.203720,65.849327,2579.933594,-0.080881,0.051800,0.009296,1
2.625000,135.206818,65.849167,2579.932373,-0.064207,0.050871,0.000693,1
2.637000,135.208008,65.848984,2579.924072,-0.035384,0.049084,0.003672,1
2.650000,135.206223,65.848953,2579.931641,-0.024903,-0.030067,0.008967,1
2.662000,135.207199,65.851891,2579.916748,-0.069827,0.003954,0.007529,1
2.675000,135.205750,65.852776,2579.926025,-0.097338,-0.004428,-0.000929,1
2.687000,135.207321,65.852058,2579.928955,-0.071810,-0.044520,0.011552,1
2.700000,135.205688,65.849159,2579.933105,-0.053248,0.027925,0.003465,1
2.712000,135.207428,65.847443,2579.934570,-0.028910,-0.024408,0.009397,1
2.725000,135.204132,65.848595,2579.928955,-0.016932,-0.050146,0.002324,1
2.737000,135.204697,65.848923,2579.914307,-0.059686,-0.010230,0.000984,1
2.750000,135.204971,65.848953,2579.937744,-0.057227,0.068158,0.002541,1
2.762000,135.206665,65.848221,2579.926025,0.016769,0.046173,0.009438,1
2.775000,135.204758,65.851234,2579.945068,-0.001018,0.032734,0.005102,1
2.787000,135.206375,65.852005,2579.923584,-0.091728,-0.001895,0.002977,1
2.800000,135.205978,65.847321,2579.910889,-0.016492,0.008145,-0.003452,1
2.812000,135.204285,65.849174,2579.905029,-0.056080,-0.052962,0.007384,1
2.825000,135.204636,65.851151,2579.925293,-0.039745,0.005831,0.006469,1
2.837000,135.203873,65.848938,2579.920898,-0.049496,-0.026153,0.001633,1
2.850000,135.204514,65.850815,2579.923340,0.038640,-0.020649,0.012344,1
2.862000,135.203217,65.849396,2579.918457,-0.096157,-0.072518,0.005175,1
2.875000,135.208145,65.852013,2579.917969,-0.074118,0.021701,0.002066,1
2.887000,135.202011,65.850220,2579.933838,-0.036541,-0.035269,0.000700,1
2.900000,135.205765,65.847099,2579.916992,-0.035128,-0.029318,-0.002598,1
2.912000,135.205460,65.848602,2579.950928,-0.003482,-0.035519,0.005470,1
2.925000,135.204285,65.847710,2579.928223,-0.061347,-0.029804,0.008221,1
2.937000,135.207870,65.851593,2579.936279,-0.105725,-0.037775,-0.003091,1
2.950000,135.206314,65.852715,2579.926270,-0.071180,-0.004558,0.001562,1
2.962000,135.203812,65.850082,2579.925049,-0.063581,0.018195,-0.001361,1
2.975000,135.204773,65.851387,2579.921143,-0.084984,0.026633,0.001481,1
2.987000,135.204056,65.849686,2579.915527,-0.074090,0.001972,-0.001458,1
3.000000,135.206329,65.850655,2579.940918,-0.051888,-0.015988,0.002326,1
3.012000,135.207855,65.847404,2579.929688,-0.045526,0.022048,0.010669,1
3.025000,135.207260,65.850746,2579.920410,0.000538,0.087514,0.005560,1
3.037000,135.207550,65.850060,2579.921875,-0.063161,0.000022,0.007697,1
3.050000,135.207657,65.847816,2579.934570,-0.033891,0.019389,0.006184,1
3.062000,135.205536,65.849571,2579.926270,-0.078428,-0.002101,0.005213,1
3.075000,135.207306,65.848412,2579.925781,-0.012757,-0.015258,0.013804,1
3.087000,135.204987,65.849396,2579.924072,-0.085511,0.037929,-0.001645,1
3.100000,135.200180,65.852661,2579.940674,-0.073878,-0.060304,-0.005664,1
3.112000,135.205750,65.850197,2579.917725,-0.072412,0.012550,-0.004833,1
3.125000,135.205750,65.851212,2579.937012,-0.009995,0.041654,0.006787,1
3.137000,135.204987,65.847275,2579.941650,-0.009577,-0.052354,0.012738,1
3.150000,135.206833,65.850906,2579.933594,-0.029133,0.024067,0.004150,1
3.162000,135.207443,65.849953,2579.944336,-0.059058,-0.059206,0.007034,1
3.175000,135.206635,65.853149,2579.922852,-0.065344,0.008140,0.000288,1
3.187000,135.207733,65.853699,2579.936768,-0.013373,-0.082039,0.010298,1
