,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
1.987000,-165.837540,62.010212,2855.762939,22.802427,-10.415464,-8.670442,1
2.000000,-165.836914,62.011086,2855.759277,22.822985,-10.465255,-8.660334,1
2.012000,-165.834900,62.011505,2855.740967,22.775120,-10.444496,-8.655190,1
2.025000,-165.836716,62.014305,2855.750977,22.816301,-10.423520,-8.661271,1
2.037000,-165.837677,62.013149,2855.745605,22.847275,-10.496199,-8.664944,1
2.050000,-165.833603,62.014030,2855.780762,22.875959,-10.470905,-8.658577,1
2.062000,-165.834579,62.009491,2855.739746,22.869127,-10.478253,-8.661028,1
2.075000,-165.834473,62.011482,2855.735840,22.845167,-10.515411,-8.668550,1
2.087000,-165.834930,62.009121,2855.755127,22.775019,-10.538353,-8.670028,1
2.100000,-165.832993,62.010925,2855.708496,22.811110,-10.515649,-8.670604,1
2.112000,-165.836884,62.010990,2855.759277,22.883570,-10.412697,-8.670295,1
2.125000,-165.831268,62.011139,2855.731934,22.883461,-10.490119,-8.665334,1
2.137000,-165.837753,62.009445,2855.737305,22.845112,-10.451432,-8.672088,1
2.150000,-165.838470,62.011600,2855.760986,22.852068,-10.435155,-8.659087,1
2.162000,-165.838760,62.009651,2855.788818,22.840910,-10.410965,-8.665784,1
2.175000,-165.837234,62.015846,2855.761230,22.873732,-10.412995,-8.661403,1
2.187000,-165.838776,62.013233,2855.763184,22.874775,-10.357070,-8.655253,1
2.200000,-165.838684,62.009491,2855.752930,22.839209,-10.475034,-8.661391,1
2.212000,-165.836258,62.013344,2855.750488,22.928242,-10.357277,-8.644514,1
2.225000,-165.838303,62.011169,2855.762939,22.887564,-10.474994,-8.654874,1
2.237000,-165.837433,62.009266,2855.754883,22.801533,-10.446186,-8.665160,1
2.250000,-165.837524,62.011658,2855.767334,22.832174,-10.413540,-8.663333,1
2.262000,-165.834961,62.011395,2855.764404,22.770805,-10.441420,-8.661038,1
2.275000,-165.837158,62.009201,2855.755127,22.826736,-10.522484,-8.671951,1
2.287000,-165.834305,62.007992,2855.763916,22.883257,-10.436709,-8.654274,1
2.300000,-165.833969,62.012131,2855.744385,22.841726,-10.543686,-8.672076,1
2.312000,-165.838806,62.010513,2855.766602,22.803421,-10.414042,-8.669491,1
2.325000,-165.836288,62.009544,2855.750488,22.859737,-10.447536,-8.658713,1
2.337000,-165.838654,62.015015,2855.749268,22.876078,-10.479152,-8.660024,1
2.350000,-165.836960,62.013741,2855.744873,22.893368,-10.444234,-8.667921,1
2.362000,-165.840866,62.008499,2855.771729,22.831921,-10.470271,-8.652747,1
2.375000,-165.840408,62.010860,2855.758789,22.796606,-10.435791,-8.673046,1
2.387000,-165.838898,62.010536,2855.760010,22.808987,-10.478613,-8.663441,1
2.400000,-165.841064,62.009537,2855.759033,22.817720,-10.500294,-8.663164,1
2.412000,-165.838547,62.012901,2855.749268,22.856861,-10.419001,-8.661541,1
2.425000,-165.841370,62.013004,2855.754639,22.851635,-10.482436,-8.657177,1
2.437000,-165.839371,62.009644,2855.768311,22.736467,-10.473828,-8.674187,1
2.450000,-165.835785,62.007931,2855.759766,22.826769,-10.425364,-8.662144,1
2.462000,-165.840851,62.009815,2855.763184,22.817137,-10.444443,-8.663500,1
2.475000,-165.841965,62.009773,2855.769287,22.842607,-10.502718,-8.669234,1
2.487000,-165.840042,62.014790,2855.757080,22.789761,-10.449425,-8.668778,1
2.500000,-165.835724,62.009506,2855.749023,22.825203,-10.433735,-8.667244,1
2.512000,-165.838028,62.007744,2855.753174,22.838547,-10.447455,-8.664745,1
2.525000,-165.836624,62.010342,2855.735107,22.808365,-10.476857,-8.664675,1
2.537000,-165.838974,62.011284,2855.744873,22.838402,-10.321820,-8.665361,1
2.550000,-165.840164,62.011494,2855.743652,22.876268,-10.486959,-8.654702,1
2.562000,-165.841354,62.011570,2855.757324,22.819410,-10.455132,-8.660729,1
2.575000,-165.842911,62.009113,2855.779541,22.835741,-10.476730,-8.661286,1
2.587000,-165.838058,62.014114,2855.760498,22.870907,-10.542779,-8.655961,1
2.600000,-165.838928,62.007896,2855.739502,22.837240,-10.478454,-8.666039,1
2.612000,-165.833557,62.011532,2855.735352,22.858345,-10.482045,-8.666076,1
2.625000,-165.840530,62.010792,2855.769775,22.815023,-10.439430,-8.666514,1
2.637000,-165.841064,62.012604,2855.758301,22.850237,-10.449544,-8.662716,1
2.650000,-165.836990,62.012657,2855.750977,22.847179,-10.458288,-8.663856,1
2.662000,-165.837585,62.008862,2855.760010,22.819052,-10.359703,-8.658906,1
2.675000,-165.837875,62.007221,2855.750732,22.826370,-10.431744,-8.666601,1
2.687000,-165.839249,62.011646,2855.768311,22.873497,-10.437576,-8.654041,1
2.700000,-165.836639,62.011387,2855.761475,22.805378,-10.501589,-8.667764,1
2.712000,-165.843521,62.012642,2855.776367,22.881281,-10.461596,-8.655858,1
2.725000,-165.837448,62.006077,2855.758057,22.770775,-10.476317,-8.667686,1
2.737000,-165.847092,62.013237,2855.761475,22.848124,-10.441077,-8.667289,1
2.750000,-165.839325,62.011002,2855.763672,22.822384,-10.425993,-8.655875,1
2.762000,-165.837814,62.015205,2855.742188,22.841589,-10.492602,-8.662826,1
2.775000,-165.840271,62.010464,2855.746338,22.834528,-10.359593,-8.660237,1
2.787000,-165.842133,62.008163,2855.771484,22.808466,-10.503179,-8.669947,1
2.800000,-165.837097,62.008408,2855.761963,22.796284,-10.531370,-8.678465,1
2.812000,-165.843018,62.008549,2855.772949,22.816734,-10.463683,-8.660876,1
2.825000,-165.839081,62.013611,2855.766113,22.778631,-10.501465,-8.679017,1
