 X, Y, Z,Yaw,Pitch, Roll
18.14,33.867,4.305,-89.0163,-0.6424,-0.549
18.14,33.867,4.305,-89.0158,-0.6422,-0.5487
18.14,33.867,4.305,-89.0153,-0.6419,-0.5483
18.14,33.867,4.305,-89.0148,-0.6417,-0.5479
18.14,33.867,4.305,-89.0144,-0.6414,-0.5475
18.14,33.867,4.305,-89.0138,-0.6411,-0.5471
18.139,33.867,4.305,-89.0134,-0.6409,-0.5467
18.14,33.867,4.305,-89.0129,-0.6406,-0.5463
18.139,33.867,4.305,-89.0124,-0.6404,-0.5459
18.139,33.867,4.305,-89.0119,-0.6401,-0.5455
18.139,33.867,4.305,-89.0114,-0.6398,-0.5451
18.139,33.867,4.305,-89.0084,-0.6398,-0.5445
18.134,33.869,4.305,-88.9964,-0.6411,-0.5436
18.129,33.87,4.304,-88.9843,-0.6425,-0.5427
18.126,33.872,4.304,-88.9724,-0.6439,-0.5418
18.122,33.873,4.303,-88.9606,-0.6452,-0.5409
18.117,33.874,4.303,-88.9489,-0.6465,-0.54
18.113,33.876,4.302,-88.9373,-0.6478,-0.539
18.108,33.877,4.302,-88.9258,-0.6491,-0.5382
18.104,33.879,4.301,-88.9145,-0.6504,-0.5373
18.099,33.88,4.301,-88.9032,-0.6517,-0.5364
18.095,33.881,4.3,-88.892,-0.653,-0.5355
18.091,33.883,4.299,-88.881,-0.6542,-0.5347
18.087,33.884,4.299,-88.8699,-0.6554,-0.5338
18.083,33.886,4.298,-88.859,-0.6567,-0.5329
18.079,33.887,4.298,-88.8482,-0.6579,-0.5321
18.074,33.888,4.297,-88.8374,-0.6591,-0.5312
18.071,33.889,4.297,-88.8267,-0.6603,-0.5304
18.066,33.891,4.296,-88.8161,-0.6614,-0.5295
18.062,33.892,4.296,-88.8055,-0.6626,-0.5287
18.058,33.893,4.295,-88.795,-0.6638,-0.5278
18.055,33.895,4.295,-88.7845,-0.6649,-0.527
18.051,33.896,4.294,-88.7741,-0.6661,-0.5261
18.048,33.897,4.294,-88.7638,-0.6672,-0.5253
18.044,33.898,4.293,-88.7535,-0.6683,-0.5244
18.041,33.899,4.293,-88.7433,-0.6694,-0.5236
18.037,33.9,4.293,-88.7331,-0.6706,-0.5228
18.033,33.902,4.292,-88.7229,-0.6717,-0.522
18.03,33.903,4.292,-88.7128,-0.6728,-0.5212
18.027,33.904,4.291,-88.7027,-0.6739,-0.5203
18.023,33.905,4.291,-88.6927,-0.675,-0.5195
18.02,33.906,4.29,-88.6827,-0.6761,-0.5187
18.017,33.907,4.29,-88.6727,-0.6772,-0.5179
18.013,33.908,4.29,-88.6628,-0.6783,-0.5171
18.01,33.909,4.289,-88.6529,-0.6794,-0.5163
18.007,33.91,4.289,-88.643,-0.6805,-0.5155
18.003,33.911,4.288,-88.6332,-0.6815,-0.5147
18,33.912,4.288,-88.6234,-0.6826,-0.5139
17.997,33.913,4.287,-88.6136,-0.6837,-0.5131
17.994,33.914,4.287,-88.6039,-0.6847,-0.5122
17.99,33.916,4.287,-88.5942,-0.6858,-0.5115
17.987,33.917,4.286,-88.5845,-0.6868,-0.5107
17.984,33.918,4.286,-88.5748,-0.6879,-0.5099
17.98,33.919,4.286,-88.5652,-0.689,-0.509
17.977,33.92,4.285,-88.5556,-0.69,-0.5082
17.974,33.921,4.285,-88.546,-0.691,-0.5075
17.971,33.922,4.284,-88.5364,-0.6921,-0.5067
17.967,33.923,4.284,-88.5268,-0.6931,-0.5059
17.965,33.924,4.283,-88.5173,-0.6942,-0.5051
17.961,33.925,4.283,-88.5078,-0.6952,-0.5043
17.958,33.926,4.283,-88.4983,-0.6962,-0.5035
17.955,33.927,4.282,-88.4888,-0.6973,-0.5027
17.952,33.928,4.282,-88.4794,-0.6983,-0.502
17.949,33.929,4.281,-88.4699,-0.6993,-0.5012
17.945,33.93,4.281,-88.4605,-0.7004,-0.5004
17.942,33.931,4.281,-88.4511,-0.7014,-0.4996
17.939,33.932,4.28,-88.4417,-0.7024,-0.4989
17.936,33.933,4.28,-88.4323,-0.7034,-0.4981
17.932,33.935,4.279,-88.423,-0.7044,-0.4973
17.929,33.936,4.279,-88.4136,-0.7054,-0.4965
17.926,33.937,4.279,-88.4043,-0.7065,-0.4958
17.923,33.938,4.278,-88.395,-0.7075,-0.495
17.92,33.939,4.278,-88.3857,-0.7085,-0.4943
17.917,33.94,4.277,-88.3764,-0.7095,-0.4935
17.913,33.941,4.277,-88.3671,-0.7105,-0.4927
17.91,33.942,4.277,-88.3578,-0.7115,-0.492
17.907,33.943,4.276,-88.3486,-0.7125,-0.4912
17.903,33.944,4.276,-88.3393,-0.7136,-0.4905
17.9,33.945,4.275,-88.3301,-0.7146,-0.4897
17.897,33.946,4.275,-88.3209,-0.7156,-0.489
17.894,33.947,4.274,-88.3117,-0.7166,-0.4882
17.891,33.948,4.274,-88.3025,-0.7176,-0.4875
17.888,33.949,4.274,-88.2934,-0.7187,-0.4867
17.885,33.95,4.273,-88.2842,-0.7197,-0.486
17.881,33.951,4.273,-88.2751,-0.7207,-0.4852
17.878,33.952,4.272,-88.2659,-0.7217,-0.4845
17.875,33.953,4.272,-88.2568,-0.7227,-0.4837
17.872,33.954,4.272,-88.2477,-0.7236,-0.483
17.869,33.955,4.271,-88.2386,-0.7246,-0.4822
17.865,33.956,4.271,-88.2295,-0.7256,-0.4815
17.862,33.957,4.271,-88.2204,-0.7266,-0.4808
17.859,33.958,4.27,-88.2113,-0.7276,-0.48
17.856,33.959,4.27,-88.2023,-0.7286,-0.4793
17.853,33.96,4.269,-88.1932,-0.7296,-0.4785
17.85,33.961,4.269,-88.1842,-0.7306,-0.4778
17.847,33.962,4.269,-88.1752,-0.7316,-0.4771
17.844,33.963,4.268,-88.1662,-0.7326,-0.4763
17.841,33.964,4.268,-88.1572,-0.7336,-0.4756
17.837,33.965,4.267,-88.1482,-0.7346,-0.4749
17.834,33.966,4.267,-88.1392,-0.7356,-0.4741
17.831,33.968,4.267,-88.1302,-0.7365,-0.4734
