,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
4.965000,154.411926,109.973007,1,998.890015,-0.011316,0.047063,0.004866,1
4.998000,156.431442,109.983322,1,999.326416,0.000458,0.088465,0.001720,1
5.031000,159.862656,109.962456,1,999.566528,-0.019349,0.040683,0.000843,1
5.065000,164.790146,109.817955,1,999.294922,-0.017523,0.001262,0.013474,1
5.098000,171.300110,109.835236,1,998.739868,-0.003065,-0.037526,-0.001278,1
5.131000,178.934998,109.729843,1,998.218140,0.002569,-0.105470,0.003618,1
5.165000,187.514038,109.642258,1,997.950317,-0.007778,-0.193110,-0.014044,1
5.198000,195.720016,109.620773,1,998.018433,-0.016728,-0.250533,-0.013070,1
5.231000,204.038864,109.442947,1,998.185669,-0.020114,-0.280305,-0.010768,1
5.265000,212.130798,109.372612,1,998.218506,0.004730,-0.245047,-0.001693,1
5.298000,220.532043,109.366386,1,997.966797,-0.007461,-0.329746,-0.018471,1
5.331000,228.859024,109.197693,1,997.584839,-0.080452,-1.029566,-0.057612,1
5.365000,237.473541,109.216721,1,997.294678,-0.075509,-1.072812,-0.075192,1
5.398000,245.824921,109.067207,1,997.186401,-0.068713,-1.114758,-0.064844,1
5.431000,254.122665,108.947525,1,997.098511,-0.086413,-1.360825,-0.100956,1
5.465000,262.330414,108.918144,1,996.960938,-0.060831,-1.144326,-0.067404,1
5.498000,270.734100,108.829063,1,996.883545,-0.097112,-1.459898,-0.125069,1
5.531000,278.973938,108.670006,1,996.824341,-0.082035,-1.397873,-0.114905,1
5.564000,287.450470,108.679390,1,996.760254,-0.129748,-1.861512,-0.190884,1
5.598000,295.785858,108.518051,1,996.511597,-0.113923,-1.943914,-0.188851,1
5.631000,304.183044,108.423340,1,996.200928,-0.117860,-1.930208,-0.187593,1
5.664000,312.434998,108.397972,1,996.025879,-0.116925,-1.947130,-0.190347,1
5.698000,320.795654,108.272644,1,996.044556,-0.109119,-1.998563,-0.190057,1
5.731000,329.001740,108.167740,1,996.054565,-0.102992,-1.951513,-0.189469,1
5.764000,336.636444,108.131172,1,995.913940,-0.109269,-2.092565,-0.207804,1
5.798000,342.757965,108.073029,1,995.650757,-0.105596,-2.067960,-0.204532,1
5.831000,347.525818,107.889893,1,995.303955,-0.113873,-2.011245,-0.181183,1
5.864000,351.100220,108.036552,1,995.198120,-0.106180,-2.109065,-0.208678,1
5.898000,353.162292,108.017967,1,995.269775,-0.103689,-2.132302,-0.215967,1
5.931000,353.842377,107.952103,1,995.508911,-0.102745,-2.067436,-0.202884,1
5.964000,353.729675,108.032402,1,996.004883,-0.104887,-2.104527,-0.209748,1
5.998000,353.886108,107.959801,1,997.514038,-0.109526,-2.107367,-0.202712,1
6.031000,353.932922,107.984077,2,000.416382,-0.097229,-2.126103,-0.205643,1
6.064000,354.147308,107.987381,2,005.005737,-0.097579,-2.082060,-0.207066,1
6.098000,354.207794,107.947151,2,011.272461,-0.108042,-2.056885,-0.196191,1
6.131000,354.286377,107.923958,2,018.510498,-0.100965,-2.071364,-0.194960,1
6.164000,354.283569,107.945496,2,026.953979,-0.096388,-2.012756,-0.193425,1
6.198000,354.225006,107.980827,2,035.472778,-0.096592,-2.042236,-0.191999,1
6.231000,354.447662,107.995125,2,043.847900,-0.113177,-2.027003,-0.193733,1
6.264000,354.607178,108.028297,2,052.406738,-0.105125,-2.068398,-0.200899,1
6.298000,354.912292,107.986137,2,060.259521,-0.108153,-2.081258,-0.194258,1
6.331000,354.997894,108.043579,2,068.687744,-0.115546,-2.063426,-0.195491,1
6.364000,355.182831,108.041336,2,076.656006,-0.118965,-2.076441,-0.191956,1
6.398000,355.196472,108.042397,2,085.429199,-0.114718,-2.045577,-0.190047,1
6.431000,355.275238,108.049606,2,093.853516,-0.113012,-2.056851,-0.186216,1
6.464000,355.385376,108.056992,2,102.397461,-0.117976,-2.035964,-0.188444,1
6.498000,355.541382,108.118767,2,110.617676,-0.116756,-2.090253,-0.194849,1
6.531000,355.742035,108.108627,2,118.573975,-0.125363,-2.072865,-0.189552,1
6.564000,355.947205,108.188583,2,126.977539,-0.127526,-2.010100,-0.190033,1
6.597000,356.169617,108.155228,2,135.123291,-0.130301,-2.022497,-0.190391,1
6.631000,356.265747,108.236023,2,143.975586,-0.137443,-2.003742,-0.192224,1
6.664000,356.371796,108.249458,2,152.043213,-0.140235,-2.046165,-0.196968,1
6.697000,356.400726,108.267570,2,160.680664,-0.129496,-2.003481,-0.194913,1
6.731000,356.563995,108.288490,2,168.690918,-0.132032,-2.062660,-0.198835,1
6.764000,356.731201,108.259384,2,176.812012,-0.127979,-1.990139,-0.195726,1
6.797000,356.861084,108.327309,2,183.444336,-0.136939,-1.984855,-0.195634,1
6.831000,356.840149,108.293671,2,188.708496,-0.144043,-1.989455,-0.189838,1
6.864000,356.780182,108.295631,2,192.551514,-0.129734,-2.003752,-0.189717,1
6.897000,356.753143,108.272629,2,194.812744,-0.123387,-2.011251,-0.187982,1
6.931000,356.845154,108.259842,2,196.010254,-0.122066,-1.986129,-0.184496,1
6.964000,356.992188,108.093178,2,195.795410,-0.141045,-1.956038,-0.195760,1
6.997000,356.995758,106.357224,2,195.820312,-0.130764,-2.023007,-0.176321,1
7.031000,356.933044,103.583839,2,195.481934,-0.128835,-1.998757,-0.189762,1
7.064000,356.957581,99.425537,2,195.604004,-0.149122,-2.046911,-0.190342,1
7.097000,356.845184,93.821426,2,195.751465,-0.140862,-2.018838,-0.190791,1
7.131000,356.823822,86.998482,2,195.944092,-0.118076,-2.040903,-0.199934,1
7.164000,356.687561,78.779991,2,195.979736,-0.130437,-1.961317,-0.184027,1
7.197000,356.557007,70.457397,2,195.757080,-0.129935,-2.030073,-0.174323,1
7.231000,356.737946,62.318832,2,195.516357,-0.145701,-2.053529,-0.210494,1
7.264000,356.539703,53.761860,2,195.458984,-0.131350,-2.056312,-0.177689,1
7.297000,356.513947,45.507328,2,195.646240,-0.128073,-2.046028,-0.185097,1
7.331000,356.404297,37.205208,2,195.854980,-0.146490,-2.004639,-0.190148,1
7.364000,356.256866,28.904142,2,195.980469,-0.138349,-1.987206,-0.185651,1
7.397000,356.159058,20.552813,2,195.866455,-0.145920,-1.975542,-0.189057,1
7.431000,356.068024,12.175317,2,195.747070,-0.137136,-2.022400,-0.184119,1
7.464000,356.115265,3.855906,2,195.691406,-0.145045,-2.025603,-0.182521,1
7.497000,356.070557,-4.475489,2,195.761475,-0.140500,-1.982420,-0.185570,1
7.531000,355.941559,-12.810950,2,195.811768,-0.141963,-2.029278,-0.183096,1
7.564000,355.779541,-21.178637,2,195.880615,-0.151622,-2.017464,-0.181737,1
7.597000,355.710297,-29.430922,2,195.923828,-0.145801,-2.021339,-0.190592,1
7.631000,355.674072,-37.753765,2,195.990723,-0.136561,-2.042529,-0.199723,1
7.664000,355.559662,-46.186035,2,195.974609,-0.140085,-1.977293,-0.178927,1
7.697000,355.539673,-54.525700,2,195.880371,-0.141840,-1.988212,-0.177792,1
7.730000,355.476624,-62.826420,2,195.806641,-0.137961,-2.042175,-0.188143,1
7.764000,355.308197,-71.041588,2,195.867188,-0.140682,-1.965830,-0.159630,1
7.797000,355.286102,-77.793663,2,195.963135,-0.139972,-1.995711,-0.168014,1
7.830000,355.347473,-83.020721,2,195.955811,-0.151536,-2.001971,-0.192056,1
7.864000,355.264801,-87.242119,2,195.964600,-0.135870,-2.005971,-0.182639,1
7.897000,355.233459,-90.044708,2,195.921875,-0.139332,-2.033991,-0.185918,1
7.930000,355.224976,-91.512627,2,195.903809,-0.136261,-1.996984,-0.183379,1
7.964000,355.194763,-91.725929,2,195.924805,-0.132728,-2.017948,-0.195136,1
7.997000,353.961304,-91.654419,2,195.974609,-0.146182,-1.999024,-0.193619,1
8.030000,351.443481,-91.925377,2,196.016846,-0.135977,-2.005765,-0.167482,1
8.064000,347.504913,-91.908760,2,196.007568,-0.146824,-2.004700,-0.169486,1
8.097000,342.357239,-91.699539,2,196.043945,-0.138191,-1.976939,-0.183953,1
8.130000,335.808289,-91.612900,2,196.146973,-0.154255,-2.019492,-0.179701,1
8.164000,327.965546,-91.606201,2,196.412842,-0.157026,-1.981513,-0.177281,1
8.197000,319.635132,-91.308571,2,196.687988,-0.161336,-1.872914,-0.186544,1
8.230000,311.193787,-91.291397,2,196.909424,-0.163757,-1.863035,-0.178063,1
8.264000,302.780823,-91.297188,2,197.044678,-0.160915,-1.870320,-0.168773,1
8.297000,294.539886,-91.057755,2,197.121338,-0.173450,-1.873122,-0.187758,1
8.330000,286.195374,-91.083855,2,197.145752,-0.135453,-1.438014,-0.100508,1
8.364000,277.883667,-90.938766,2,197.152100,-0.112806,-1.387836,-0.103454,1
8.397000,269.495880,-90.910309,2,197.270020,-0.140765,-1.365617,-0.089692,1
8.430000,261.100647,-90.820091,2,197.498291,-0.138255,-1.359134,-0.090068,1
8.464000,252.712616,-90.710472,2,197.809326,-0.136438,-1.344781,-0.092541,1
8.497000,244.435150,-90.640678,2,198.035156,-0.150345,-1.308957,-0.090101,1
8.530000,236.070831,-90.586609,2,198.253906,-0.052023,-0.320895,-0.015800,1
8.564000,227.801529,-90.497276,2,198.249512,-0.159456,-1.217234,-0.083513,1
8.597000,219.414108,-90.382278,2,198.313965,-0.061098,-0.351418,-0.018451,1
8.630000,211.142105,-90.390320,2,198.410400,-0.055896,-0.270256,-0.009329,1
8.664000,202.732101,-90.219170,2,198.591797,-0.061557,-0.287204,-0.009369,1
8.697000,194.457336,-90.120003,2,198.845947,-0.053864,-0.208218,-0.010371,1
8.730000,186.015244,-90.066383,2,199.023438,-0.060308,-0.213769,-0.005987,1
8.764000,177.762573,-89.933388,2,199.142822,-0.059141,-0.112859,-0.002993,1
8.797000,170.591354,-89.745621,2,199.215088,-0.062471,-0.155617,-0.016428,1
8.830000,164.769623,-89.781822,2,199.365479,-0.067478,-0.074174,-0.001060,1
8.864000,160.321030,-89.717499,2,199.556641,-0.064365,-0.080430,-0.015738,1
8.897000,157.169891,-89.751808,2,199.720459,-0.072175,-0.096966,-0.008453,1
8.930000,155.363708,-89.848717,2,199.723145,-0.064352,-0.046027,0.000706,1
8.963000,154.844086,-89.805717,2,199.626709,-0.054949,-0.015623,0.005193,1
8.997000,154.907883,-89.906509,2,198.941406,-0.050576,-0.068705,0.006045,1
9.030000,154.958664,-89.800888,2,197.135254,-0.058898,-0.009204,0.008903,1
9.063000,154.883301,-89.793716,2,193.900879,-0.051499,0.044055,-0.000511,1
9.097000,154.741989,-89.775436,2,188.906982,-0.048858,0.125427,0.001628,1
9.130000,154.509216,-89.706024,2,182.411865,-0.054087,-0.048886,-0.001150,1
9.163000,154.392487,-89.732086,2,174.641113,-0.048925,-0.031474,0.000846,1
9.197000,154.323532,-89.792580,2,166.253418,-0.043232,0.018299,0.005361,1
9.230000,154.269012,-89.884094,2,157.675781,-0.050970,-0.046714,0.008903,1
9.263000,154.186981,-89.992058,2,149.014648,-0.060071,-0.096985,-0.000770,1
9.297000,153.971283,-89.930389,2,140.943359,-0.047013,0.037991,0.011520,1
9.330000,153.794464,-89.908279,2,132.649414,-0.043270,0.032746,-0.002315,1
9.363000,153.644394,-89.884064,2,124.515137,-0.056764,-0.103641,-0.004771,1
9.397000,153.488174,-89.904449,2,116.378418,-0.044887,0.058312,0.003414,1
